Wk,Week beginning,Topic,Homework,Consolidation (round-out + retrieval of prior topics)
1,31/08/26,Induction & diagnostic; VS Code/Python setup,Complete the diagnostic task; verify VS Code + Python + Classroom access.,Read subject booklet; set up notes/folders (VESPA Systems); skim 00 START HERE.
2,07/09/26,"1.1.1 CPU, FDE, performance, Von Neumann/Harvard",Homework 1.1.1 (/20). Programming: Workbook 1 s1-2.,Revision Notes 1.1.1 cover-and-recall; start Flashcards 1.1; redo missed diagnostic Qs.
3,14/09/26,"1.1.2 Pipelining, CISC/RISC, GPUs, multicore (KA1)",Homework 1.1.2 (/20); revise for KA1 with Knowledge Organiser 1.1.,"Worksheet (quiz) 1.1.1 closed-book, self-mark; Flashcards 1.1."
4,21/09/26,1.1.3 I/O & storage; RAM/ROM; 2.1.1 Thinking abstractly (KA1 fb),Homework 1.1.3 + Homework 2.1.1; act on KA1 feedback (error log).,Quizzes 1.1.2 & 2.1.1; Revision Notes 1.1.3.
5,28/09/26,"1.2.1 OS, scheduling, interrupts; 2.1.2 Thinking ahead (CAP1/KA2)",Homework 1.2.1; prep CAP1/KA2 with Organiser 1.1 + Flashcards.,Quiz 1.1.3; Mini-Paper 1.1 Section A timed (first spaced retrieval of 1.1).
6,05/10/26,"Review wk 1; 1.2.1 BIOS, drivers, VMs (CAP1/KA2 fb)",Homework 2.1.2; act on CAP1/KA2 feedback.,File-check prep; Quiz 1.2.1; mixed Flashcards 1.1+1.2.
7,12/10/26,1.2.2 Translators & compilers; 2.1.2 caching/reuse (KA3; CAP1 due 12 Oct),Homework 1.2.2 (/20); compilation-stages drill (End-of-Topic Worksheet 1.2 sA).,"Full Mini-Paper 1.1, timed & marked; Quiz 2.1.2."
HT,19/10/26,HALF TERM,Finish any outstanding sheet.,10 min/day Flashcards 1.1-1.2 - light and spaced.
8,02/11/26,"1.2.3 Methodologies, test strategies; 2.1.3 Thinking procedurally (KA3 fb)",Homework 1.2.3 + Homework 2.1.3.,Quiz 1.2.2; Revision Notes 1.2.3; act on KA3 feedback.
9,09/11/26,"1.2.4 Paradigms, assembly, OOP (CAP2/KA4)",Homework 1.2.4 (/20); prep CAP2/KA4 with Organiser 1.2.,Quiz 1.2.3; Flashcards 1.2; Mini-Paper 1.1 re-run of wrong Qs.
