subtopic,question,answer
1.1.1,What are the two main internal components of the CPU?,"The Arithmetic Logic Unit (ALU) and the Control Unit (CU), plus a set of registers."
1.1.1,What does the Arithmetic Logic Unit (ALU) do?,"Carries out all arithmetic operations (add, subtract, etc.), logical operations (AND, OR, NOT, comparisons) and shifts; the result is normally placed in the Accumulator."
1.1.1,What does the Control Unit (CU) do?,"Decodes each instruction, generates control signals to direct other components, manages data flow along the buses, and synchronises operations using the system clock."
1.1.1,Define a register.,"A small, extremely fast block of memory inside the CPU used to temporarily hold data during processing."
1.1.1,What is the role of the Program Counter (PC)?,Holds the address of the next instruction to be fetched; it is incremented during each cycle.
1.1.1,What is the role of the Memory Address Register (MAR)?,Holds the address of the memory location currently being read from or written to.
1.1.1,What is the role of the Memory Data Register (MDR)?,"Holds the data or instruction just fetched from, or about to be written to, memory."
1.1.1,What is the role of the Current Instruction Register (CIR)?,Holds the current instruction while it is being decoded and executed.
1.1.1,What is the role of the Accumulator (ACC)?,Stores the immediate results of calculations carried out by the ALU.
1.1.1,What does the address bus carry and in which direction?,Carries the memory address of the location to read/write; unidirectional (CPU to memory).
1.1.1,What does the data bus carry and in which direction?,Carries the actual data/instructions transferred between CPU and memory; bidirectional.
1.1.1,What does the control bus carry and in which direction?,"Carries control signals (e.g. read/write, clock, interrupt request); bidirectional."
1.1.1,List the steps of the FETCH phase of the FDE cycle.,1) Address in PC copied to MAR; 2) instruction fetched along data bus into MDR (read signal on control bus); 3) PC incremented; 4) contents of MDR copied into CIR.
1.1.1,What happens in the DECODE phase of the FDE cycle?,"The Control Unit decodes the instruction in the CIR, splitting it into the opcode (the operation) and the operand (the data/address it acts on)."
1.1.1,What happens in the EXECUTE phase of the FDE cycle?,"The decoded instruction is carried out, e.g. the ALU performs a calculation (result to ACC), data is loaded/stored, or the PC is changed (a jump); the cycle then repeats."
1.1.1,How is a jump/branch instruction carried out in machine code?,"A new address is written directly into the PC during the execute phase, so the next fetch comes from a different location (this implements loops and selection)."
1.1.1,What is clock speed and how is it measured?,"The rate at which the clock generates pulses to synchronise CPU operations, measured in hertz (Hz); e.g. 3.5 GHz = 3.5 billion cycles per second."
1.1.1,"How does a higher clock speed affect performance, and what limits it?",More FDE cycles per second means faster processing; limited by rising heat dissipation and power consumption.
1.1.1,What is a core?,An independent processing unit within a CPU capable of running its own fetch-decode-execute cycle.
1.1.1,Why does adding more cores not always increase performance?,"Only helps if the software is written to use multiple cores and the task can be split; data dependencies, sequential work and coordination overheads limit gains."
1.1.1,What is cache and why does it improve performance?,"A small amount of very fast memory on or near the CPU that stores frequently/recently used instructions and data, so the CPU avoids slower fetches from main memory (RAM)."
1.1.1,"Compare L1, L2 and L3 cache.","L1 is smallest and fastest, on the core; L2 is larger but slower; L3 is largest and slowest of the three (still faster than RAM) and is often shared between cores."
1.1.1,What is pipelining?,"Splitting instruction processing into stages so that while one instruction is executed, the next is decoded and a third is fetched simultaneously, increasing throughput."
1.1.1,What is a branch hazard in pipelining?,"When a taken jump/branch invalidates instructions already fetched ahead of it, so they must be flushed/discarded; mitigated by branch prediction."
1.1.1,Describe Von Neumann architecture.,"A single shared memory and bus holds both program instructions and data, accessed over a shared bus."
1.1.1,Describe Harvard architecture.,"Instructions and data are stored in physically separate memories with separate buses, allowing them to be accessed at the same time."
1.1.1,What is the Von Neumann bottleneck?,"Because data and instructions share one memory and bus, an instruction cannot be fetched while data is read/written at the same time, limiting throughput."
1.1.1,Give a typical use of Von Neumann and of Harvard architecture.,"Von Neumann: general-purpose computers (PCs, laptops). Harvard: embedded systems, microcontrollers and DSPs."
1.1.2,Describe CISC processors.,"Complex Instruction Set Computer: a large set of complex, variable-length instructions; complexity is in hardware; instructions may take several cycles; e.g. desktop x86."
1.1.2,Describe RISC processors.,"Reduced Instruction Set Computer: a small set of simple, fixed-length instructions aiming for one per cycle; complexity in software/compiler; easier to pipeline; e.g. ARM."
1.1.2,Why does RISC suit mobile/battery devices?,"Simple, uniform, single-cycle instructions make pipelining and parallelism easier and reduce power consumption, ideal for smartphones and tablets."
1.1.2,What is a GPU?,A processor with thousands of small cores specialised for performing the same operation on large blocks of data in parallel (highly parallel floating-point work).
1.1.2,Give two non-graphics uses of a GPU.,"Machine learning / training neural networks, scientific/numerical simulations, image/video processing, or cryptocurrency mining/brute-force hashing."
1.1.2,What kind of work are GPUs poor at compared with CPUs?,"Heavily sequential, branch-heavy logic with data dependencies; that work suits the few powerful high-clock cores of a CPU."
1.1.2,Define parallel processing.,"Carrying out multiple computations simultaneously, splitting a task across several processors/cores to complete it faster."
1.1.2,Why do some tasks not parallelise well?,"Data dependencies (a step needs a previous result), splitting/coordination/recombination overheads, and some algorithms being fundamentally sequential."
1.1.3,How does magnetic storage (HDD/tape) store data?,Data is stored as magnetised patterns (polarity) on a spinning platter or tape; a read/write head detects or changes the magnetisation.
1.1.3,Give one pro and one con of magnetic storage.,Pro: very large capacity at low cost per GB. Con: slower than flash and fragile due to moving parts.
1.1.3,How does flash/solid-state storage store data?,"A type of EEPROM that stores data by trapping electrons in transistors (memory cells), with no moving parts (e.g. SSD, USB stick, SD card)."
1.1.3,Give one pro and one con of flash storage.,"Pro: very fast, silent, low power, durable and shock-resistant. Con: more expensive per GB and has a finite number of write cycles."
1.1.3,How does optical storage work?,"A laser reads/writes data by detecting pits and lands on a reflective surface, sensing changes in reflected light (e.g. CD, DVD, Blu-ray)."
1.1.3,Compare RAM and ROM.,"RAM is volatile, read and write, holds programs/data currently in use. ROM is non-volatile, normally read only, holds permanent boot/firmware (bootstrap) instructions."
1.1.3,What is virtual memory?,"When RAM is full, the OS uses a portion of secondary storage (a swap/paging file) as if it were extra RAM, moving pages in and out as needed."
1.1.3,Scenario: a travelling laptop needs internal storage. Which storage type and why?,"Flash/SSD: no moving parts so shock-resistant and durable, fast, silent, low power for better battery life, and lightweight/portable."
1.1.3,Scenario: cheap long-term archiving of huge data volumes. Which storage type and why?,Magnetic (HDD or tape): very large capacity at low cost per GB; tape is cheap and reliable for archive despite slow serial access.
1.2.1,What is an operating system?,"Software that manages the hardware and provides a platform on which application software can run, hiding hardware complexity through abstraction."
1.2.1,List four core functions of an operating system.,"Memory management; processor (CPU) scheduling; interrupt handling; managing I/O / peripherals (also: user interface, security/file management)."
1.2.1,What is the difference between paging and segmentation?,"Paging divides memory into fixed-size blocks (frames/pages, mapped by a page table); segmentation divides memory into variable-size blocks (segments) reflecting the program's logical structure."
1.2.1,What is virtual memory?,"Using a section of secondary storage (swap/page file) as if it were extra RAM, so programs larger than physical RAM can run and more programs can be open at once."
1.2.1,What is disk thrashing?,"Excessive swapping of pages between RAM and disk when too little RAM is available, so the OS spends most of its time paging instead of doing useful work, slowing the machine."
1.2.1,What is an interrupt?,"A signal generated by hardware or software telling the processor that a device or process needs attention, avoiding the need for polling."
1.2.1,What is an interrupt service routine (ISR)?,The dedicated piece of code (interrupt handler) the OS runs to deal with a particular type of interrupt.
1.2.1,Describe how the processor handles an interrupt.,"At the end of the FDE cycle it checks for interrupts; if one of sufficient priority is present it finishes the current instruction, pushes registers onto the stack, loads and runs the ISR, then pops the registers to resume the original task."
1.2.1,Why are registers saved onto a stack during interrupt handling?,"So the interrupted task can resume exactly where it left off, and because the LIFO stack allows nested interrupts to resume in the correct order."
1.2.1,"What is scheduling, and what is the difference between pre-emptive and non-pre-emptive?",Scheduling is the OS deciding which process gets CPU time and for how long. Pre-emptive: a running process can be stopped and the CPU reallocated. Non-pre-emptive: a process runs until it finishes or blocks.
1.2.1,How does round robin scheduling work?,"Each process gets a fixed time slice (quantum) in turn; if not finished it goes to the back of the queue. Fair, no starvation, but ignores priority/length."
1.2.1,How do FCFS and SJF scheduling work?,"FCFS: processes run in arrival order until complete (non-pre-emptive; long jobs cause a convoy effect). SJF: the waiting process with the shortest total runtime runs next, minimising average wait but long jobs may starve."
1.2.1,How do SRT and MLFQ scheduling work?,SRT: the process with the shortest remaining time runs next and a shorter arrival pre-empts. MLFQ: several priority queues where jobs move between them by behaviour (e.g. a CPU-hungry job is demoted).
1.2.1,What are embedded and real-time operating systems?,"Embedded: built for a specific device with limited resources, held in ROM (e.g. washing machine). Real-time (RTOS): guarantees a response within a set time limit so processing meets deadlines (e.g. aircraft control)."
