"What does Big O notation describe?","How an algorithm's time or space requirement grows as the input size n increases, expressed for the worst case, ignoring constants and lower-order terms."
"Why do we drop constants and lower-order terms in Big O? (e.g. 3n²+5n+17)","Because we care about the rate of growth for large n; the dominant term (n²) decides scalability, so 3n²+5n+17 simplifies to O(n²)."
"O(1) — name and behaviour?","Constant time: execution time does not change with n. Example: accessing array[i], stack push/pop."
"O(log n) — name and behaviour?","Logarithmic time: grows very slowly; doubling n adds only one step. Example: binary search."
"O(n) — name and behaviour?","Linear time: doubling n doubles the time. Example: linear search, a single loop over a list."
"O(n²) — name and behaviour?","Polynomial (quadratic) time: doubling n quadruples the time. Example: bubble/insertion sort, nested loops."
"O(2ⁿ) — name and behaviour?","Exponential time: adding one item doubles the time; intractable for large n. Example: naive recursive Fibonacci, brute-force travelling salesman."
"Order these from fastest to slowest growth: O(n²), O(1), O(2ⁿ), O(n), O(log n)","O(1) < O(log n) < O(n) < O(n²) < O(2ⁿ)."
"What are tractable and intractable problems?","Tractable: solvable in polynomial time or better. Intractable: no known polynomial-time solution (only exponential or worse), so not solvable in reasonable time for large n."
"How does linear search work (one line)?","Check each element in turn from the start until the target is found or the end is reached."
"Linear search — best, average, worst case, and does it need sorted data?","Best O(1) (first element); average and worst O(n) (last or absent). It does NOT need sorted data."
"How does binary search work (one line)?","Repeatedly examine the middle element of a sorted list and discard the half that cannot contain the target, halving the search space each pass."
"Binary search — precondition?","The list must be sorted."
"Binary search — best, average, worst case?","Best O(1) (target is the first middle); average and worst O(log n) (search space halves each step)."
"Big O of binary search?","O(log n)."
"When does linear search beat binary search?","When data is unsorted and searched only once: a single O(n) linear search is cheaper than sorting first (O(n log n)) then binary searching. Binary search pays off when the same sorted data is searched many times."
"How does bubble sort work (one line)?","Repeatedly step through the list comparing adjacent pairs and swapping any in the wrong order, so the largest element bubbles to the end each pass."
"Bubble sort — best, average, worst, space?","Best O(n) (already sorted, with swap flag); average and worst O(n²); space O(1)."
"Why is bubble sort's best case O(n) only with a swap flag?","The flag detects a pass with no swaps and stops early; without it bubble sort is O(n²) even on a sorted list."
"How does insertion sort work (one line)?","Build a sorted section at the front by taking the next element and inserting it into its correct position, shifting larger elements right."
"Insertion sort — best, average, worst, space, and when to use?","Best O(n) (nearly sorted); average and worst O(n²); space O(1). Good for small or nearly-sorted lists as it is in-place."
"How does merge sort work (one line)?","Divide and conquer: recursively split the list in half until single elements, then merge the sublists back together in sorted order."
"Merge sort — best, average, worst, space?","O(n log n) in all cases (best/average/worst); space O(n) for the temporary merge arrays."
"Why does merge sort guarantee O(n log n)?","It always splits the list exactly in half, so the depth of splitting is log n and each level does O(n) merging work, regardless of input order."
"How does quick sort work (one line)?","Divide and conquer: choose a pivot, partition items smaller to its left and larger to its right, then recursively quicksort each partition."
"Quick sort — best, average, worst, space?","Best and average O(n log n); worst O(n²); space O(log n) (recursion stack)."
"When does quick sort hit its O(n²) worst case?","When the pivot repeatedly splits the list unevenly, e.g. always picking the smallest/largest element on already-sorted data."
"Merge sort vs quick sort — key trade-off?","Merge sort guarantees O(n log n) but needs O(n) extra space; quick sort sorts in place (O(log n) space) and is usually fastest, but degrades to O(n²) in the worst case."
"Which standard sort is not generally stable?","Quick sort. Bubble, insertion and merge sort are stable."
"Stack — what does LIFO mean and Big O of operations?","Last In, First Out: items added/removed at the top. push, pop, peek, isEmpty are all O(1)."
"Queue — FIFO meaning, Big O, and what does a circular queue use MOD for?","First In, First Out: added at the rear (enQueue), removed from the front (deQueue); both O(1). A circular queue uses MOD to wrap the pointers around the array and reuse freed space."
"Linked list — structure and Big O of traversal vs insert?","Each node holds data and a pointer to the next; a start pointer marks the head, null marks the end. Traversal/search is O(n); insert/delete given the node is O(1) (just re-point)."
"Pre-order traversal — order and use?","Node, Left, Right. Used to copy a tree / produce prefix (Polish) expressions."
"In-order traversal — order and use?","Left, Node, Right. Outputs a binary search tree in ascending sorted order."
"Post-order traversal — order and use?","Left, Right, Node. Used to delete a tree and to evaluate Reverse Polish (postfix) expressions. This is the depth-first traversal named in the spec."
"Pre/in/post-order of tree (50:(30:(20,40),70:(60,80)))?","Pre: 50,30,20,40,70,60,80. In: 20,30,40,50,60,70,80. Post: 20,40,30,60,80,70,50."
"What is breadth-first traversal (BFS) and which structure does it use?","Visit nodes level by level, left to right, using a queue. For the tree 50:(30:(20,40),70:(60,80)) → 50,30,70,20,40,60,80."
"Which data structure does depth-first use vs breadth-first?","Depth-first uses a stack (or recursion's call stack); breadth-first uses a queue."
"Binary search tree — search/insert Big O?","O(log n) average on a balanced tree; O(n) worst case on a degenerate/unbalanced tree. Traversal visits every node: O(n)."
"What does Dijkstra's algorithm find?","The shortest path from a start node to all other nodes in a weighted graph with non-negative edge weights."
"Dijkstra — one-line method?","Keep tentative distances; repeatedly visit the unvisited node with the smallest tentative distance, relax its neighbours, then mark it visited (final)."
"Dijkstra — complexity?","O(n²) with a simple distance array; O((V+E) log V) with a priority queue (binary heap)."
"What is A* and how does it differ from Dijkstra?","A* is an informed extension of Dijkstra for a single start and single goal: it adds a heuristic estimate of the remaining cost, so it searches towards the goal and usually explores fewer nodes."
"A* — what is the cost function f(n)?","f(n) = g(n) + h(n), where g(n) is the actual cost from the start and h(n) is the heuristic estimate of the remaining cost to the goal. A* expands the node with the lowest f(n)."
"What is an admissible heuristic and why does it matter?","One that never overestimates the true remaining cost. A* is guaranteed to find the optimal path only if the heuristic is admissible."
"What happens to A* if h(n) = 0 for all nodes?","It behaves identically to Dijkstra's algorithm (searching outward in all directions)."
