"What is abstraction?","The process of removing or hiding unnecessary detail so that only the information relevant to the problem remains, letting us manage complexity."
"Why is abstraction needed when solving a problem?","Real problems contain too much detail to model directly; removing irrelevant detail makes a problem simpler, manageable, understandable and reusable, and lets people work at different levels."
"How does an abstraction differ from reality?","An abstraction is a simplified, idealised model that deliberately omits detail, so it never behaves exactly like reality; a model capturing every detail would be as complex as the original and useless."
"What is representational abstraction?","Removing unnecessary detail from a specific thing to leave a simpler representation of that particular problem, e.g. modelling a road network as a graph of nodes and weighted edges."
"What is generalisation (categorisation) abstraction?","Grouping things together by their shared characteristics to form a more general, reusable model, e.g. a general Account category shared by savings and current accounts."
"Distinguish representational abstraction from generalisation abstraction.","Representational = simplify one specific thing by removing detail; generalisation = group many things by shared features to make a general model."
"What is the key difference between abstraction and decomposition?","Abstraction removes or hides unnecessary detail to simplify; decomposition breaks a large problem into smaller sub-problems. They are different skills and must not be blurred."
"In the London Underground map, what is kept and what is removed?","Kept: station order, which line each station is on, interchange points. Removed: real geography, true distances, tunnel curves, surface streets - irrelevant to choosing trains."
"What does 'thinking ahead' mean?","Planning a solution before coding by anticipating what it will need: inputs, outputs, preconditions, opportunities for caching and reusable components."
"What is an input in a system?","Data that must be supplied to a system for it to produce a result. Note: a process such as 'validate data' is not an input."
"What is an output?","A result that a system must produce, e.g. a confirmation message, a receipt, an updated display."
"What is a precondition?","A condition that must already be true before a process can run correctly, e.g. a binary search requires that the list is already sorted."
"Why state preconditions for a routine?","So you can assume them inside the routine rather than re-checking, simplifying the code and clarifying the routine's requirements."
"What is caching?","Storing the results of expensive or frequently-used operations in fast storage so they can be reused without recomputing or re-fetching."
"What are the benefits of caching?","Faster response, less repeated computation, and less network or disk traffic because data/results are reused instead of regenerated."
"What are the trade-offs of caching?","It uses extra storage, and cached data can become stale (out of date) if the underlying source changes, requiring a cache-invalidation/refresh strategy."
"What is stale data?","Cached data that is out of date because the underlying source has changed since it was cached."
"What is a reusable program component?","A self-contained, generalised module (procedure, function, class or library) that can be used in this and future programs."
"What are the benefits of reusable components?","Less development time, fewer bugs (code is already tested), consistency across the system, improved reliability and easier maintenance."
"What does 'thinking procedurally' mean?","Breaking a problem into an ordered sequence of steps and sub-procedures - identifying problem components, solution components, and the correct order."
"What is decomposition?","Breaking a large problem into smaller, more manageable sub-problems, each solved by a sub-procedure, making it easier to understand, divide between a team, and reuse."
"What is a sub-procedure (subroutine)?","A named block of code that solves one sub-problem and is called by the main program."
"Why does the order of steps matter in a solution?","Some steps depend on the output of earlier steps and cannot be reordered - e.g. you must take payment before issuing a ticket, or boil water before pouring it."
"What does 'thinking logically' mean?","Identifying the points in a problem where the path of execution depends on a condition, and stating the conditions and their outcomes."
"What is a decision point?","A place where the flow of execution can branch in different directions depending on whether a condition is true or false (an IF, CASE/SWITCH, or loop test)."
"What is flow of control?","The order in which a program's statements are executed, shaped by its decision points (selection and iteration)."
"Why must conditions at a decision point be stated exactly?","A small error such as using > instead of >= changes the behaviour; exam answers need the actual Boolean test and the outcome of both branches."
"What does 'thinking concurrently' mean?","Spotting which parts of a problem can be carried out at the same time (in parallel or interleaved) rather than one after another."
"Which tasks can run concurrently?","Independent tasks that do not depend on each other's output and do not compete for the same single resource; tasks with a data dependency must stay sequential."
"What are the benefits of concurrent processing?","Faster overall completion / better throughput, better use of multi-core hardware, and a more responsive system (the UI stays usable while a long task runs)."
"What are the trade-offs of concurrent processing?","Harder to design, program and debug; can cause race conditions and deadlock; results may need synchronising; and overhead can mean it is not always faster (single core only time-slices)."
"What is a race condition?","A fault where the result depends on the unpredictable timing of concurrent tasks accessing shared data."
"What is deadlock?","A standstill where concurrent tasks each wait for a resource the other holds, so none can proceed."
"What is the difference between true parallelism and concurrency via time-slicing?","True parallelism = multiple cores running tasks literally simultaneously; time-slicing = a single core rapidly switching between tasks to give the illusion of simultaneity."
"APPLY: A cinema booking site - give one input, one output, one precondition.","Input: number of seats / film choice / payment details. Output: seating map / booking confirmation. Precondition: the chosen showing must exist and have enough free seats before payment runs."
"APPLY: For a chess game, give a representational and a generalisation abstraction.","Representational: board as an 8x8 2-D array, ignoring piece textures. Generalisation: a general Piece category (colour, position, getLegalMoves) specialised into Pawn, Knight, etc."
"APPLY: A hotel booking system - name a precondition before taking payment.","The room must be free for every night of the requested date range before the payment routine runs."
"APPLY: An ATM withdrawal - state one decision point with its condition.","IF amount <= balance AND amount <= dailyLimit then dispense, ELSE refuse; or IF cashAvailable >= amount then dispense, ELSE show 'machine empty'."
"APPLY: A weather website - which tasks are concurrent and which must wait?","Concurrent (independent): fetch radar image, forecast data, news ticker, advert banner. Sequential: generating the temperature graph must wait for the forecast data (data dependency)."
