"What is an operating system?","Software that manages the hardware and provides a platform on which application software can run, hiding hardware complexity through abstraction."
"List four core functions of an operating system.","Memory management; processor (CPU) scheduling; interrupt handling; managing I/O / peripherals (also: user interface, security/file management)."
"What is the difference between paging and segmentation?","Paging divides memory into fixed-size blocks (frames/pages, mapped by a page table); segmentation divides memory into variable-size blocks (segments) reflecting the program's logical structure."
"What is virtual memory?","Using a section of secondary storage (swap/page file) as if it were extra RAM, so programs larger than physical RAM can run and more programs can be open at once."
"What is disk thrashing?","Excessive swapping of pages between RAM and disk when too little RAM is available, so the OS spends most of its time paging instead of doing useful work, slowing the machine."
"What is an interrupt?","A signal generated by hardware or software telling the processor that a device or process needs attention, avoiding the need for polling."
"What is an interrupt service routine (ISR)?","The dedicated piece of code (interrupt handler) the OS runs to deal with a particular type of interrupt."
"Describe how the processor handles an interrupt.","At the end of the FDE cycle it checks for interrupts; if one of sufficient priority is present it finishes the current instruction, pushes registers onto the stack, loads and runs the ISR, then pops the registers to resume the original task."
"Why are registers saved onto a stack during interrupt handling?","So the interrupted task can resume exactly where it left off, and because the LIFO stack allows nested interrupts to resume in the correct order."
"What is scheduling, and what is the difference between pre-emptive and non-pre-emptive?","Scheduling is the OS deciding which process gets CPU time and for how long. Pre-emptive: a running process can be stopped and the CPU reallocated. Non-pre-emptive: a process runs until it finishes or blocks."
"How does round robin scheduling work?","Each process gets a fixed time slice (quantum) in turn; if not finished it goes to the back of the queue. Fair, no starvation, but ignores priority/length."
"How do FCFS and SJF scheduling work?","FCFS: processes run in arrival order until complete (non-pre-emptive; long jobs cause a convoy effect). SJF: the waiting process with the shortest total runtime runs next, minimising average wait but long jobs may starve."
"How do SRT and MLFQ scheduling work?","SRT: the process with the shortest remaining time runs next and a shorter arrival pre-empts. MLFQ: several priority queues where jobs move between them by behaviour (e.g. a CPU-hungry job is demoted)."
"What are embedded and real-time operating systems?","Embedded: built for a specific device with limited resources, held in ROM (e.g. washing machine). Real-time (RTOS): guarantees a response within a set time limit so processing meets deadlines (e.g. aircraft control)."
"What are distributed and multi-user operating systems?","Distributed: runs across multiple networked computers, sharing the workload as one system. Multi-user: lets several users share the machine's resources at once, managing CPU time and permissions (e.g. servers)."
"What is the purpose of the BIOS?","Firmware that runs first at start-up; it performs the POST (power-on self-test), initialises hardware, then loads the operating system into RAM."
"What is a device driver?","Software that allows the OS to communicate with and control a specific hardware device, translating generic OS commands into device-specific instructions."
"What is intermediate code, and why is it used?","Code halfway between source and machine code that is independent of any processor (e.g. bytecode); run by a virtual machine, giving portability (write once, run anywhere)."
