"What are the two main internal components of the CPU?","The Arithmetic Logic Unit (ALU) and the Control Unit (CU), plus a set of registers."
"What does the Arithmetic Logic Unit (ALU) do?","Carries out all arithmetic operations (add, subtract, etc.), logical operations (AND, OR, NOT, comparisons) and shifts; the result is normally placed in the Accumulator."
"What does the Control Unit (CU) do?","Decodes each instruction, generates control signals to direct other components, manages data flow along the buses, and synchronises operations using the system clock."
"Define a register.","A small, extremely fast block of memory inside the CPU used to temporarily hold data during processing."
"What is the role of the Program Counter (PC)?","Holds the address of the next instruction to be fetched; it is incremented during each cycle."
"What is the role of the Memory Address Register (MAR)?","Holds the address of the memory location currently being read from or written to."
"What is the role of the Memory Data Register (MDR)?","Holds the data or instruction just fetched from, or about to be written to, memory."
"What is the role of the Current Instruction Register (CIR)?","Holds the current instruction while it is being decoded and executed."
"What is the role of the Accumulator (ACC)?","Stores the immediate results of calculations carried out by the ALU."
"What does the address bus carry and in which direction?","Carries the memory address of the location to read/write; unidirectional (CPU to memory)."
"What does the data bus carry and in which direction?","Carries the actual data/instructions transferred between CPU and memory; bidirectional."
"What does the control bus carry and in which direction?","Carries control signals (e.g. read/write, clock, interrupt request); bidirectional."
"List the steps of the FETCH phase of the FDE cycle.","1) Address in PC copied to MAR; 2) instruction fetched along data bus into MDR (read signal on control bus); 3) PC incremented; 4) contents of MDR copied into CIR."
"What happens in the DECODE phase of the FDE cycle?","The Control Unit decodes the instruction in the CIR, splitting it into the opcode (the operation) and the operand (the data/address it acts on)."
"What happens in the EXECUTE phase of the FDE cycle?","The decoded instruction is carried out, e.g. the ALU performs a calculation (result to ACC), data is loaded/stored, or the PC is changed (a jump); the cycle then repeats."
"How is a jump/branch instruction carried out in machine code?","A new address is written directly into the PC during the execute phase, so the next fetch comes from a different location (this implements loops and selection)."
"What is clock speed and how is it measured?","The rate at which the clock generates pulses to synchronise CPU operations, measured in hertz (Hz); e.g. 3.5 GHz = 3.5 billion cycles per second."
"How does a higher clock speed affect performance, and what limits it?","More FDE cycles per second means faster processing; limited by rising heat dissipation and power consumption."
"What is a core?","An independent processing unit within a CPU capable of running its own fetch-decode-execute cycle."
"Why does adding more cores not always increase performance?","Only helps if the software is written to use multiple cores and the task can be split; data dependencies, sequential work and coordination overheads limit gains."
"What is cache and why does it improve performance?","A small amount of very fast memory on or near the CPU that stores frequently/recently used instructions and data, so the CPU avoids slower fetches from main memory (RAM)."
"Compare L1, L2 and L3 cache.","L1 is smallest and fastest, on the core; L2 is larger but slower; L3 is largest and slowest of the three (still faster than RAM) and is often shared between cores."
"What is pipelining?","Splitting instruction processing into stages so that while one instruction is executed, the next is decoded and a third is fetched simultaneously, increasing throughput."
"What is a branch hazard in pipelining?","When a taken jump/branch invalidates instructions already fetched ahead of it, so they must be flushed/discarded; mitigated by branch prediction."
"Describe Von Neumann architecture.","A single shared memory and bus holds both program instructions and data, accessed over a shared bus."
"Describe Harvard architecture.","Instructions and data are stored in physically separate memories with separate buses, allowing them to be accessed at the same time."
"What is the Von Neumann bottleneck?","Because data and instructions share one memory and bus, an instruction cannot be fetched while data is read/written at the same time, limiting throughput."
"Give a typical use of Von Neumann and of Harvard architecture.","Von Neumann: general-purpose computers (PCs, laptops). Harvard: embedded systems, microcontrollers and DSPs."
"Describe CISC processors.","Complex Instruction Set Computer: a large set of complex, variable-length instructions; complexity is in hardware; instructions may take several cycles; e.g. desktop x86."
"Describe RISC processors.","Reduced Instruction Set Computer: a small set of simple, fixed-length instructions aiming for one per cycle; complexity in software/compiler; easier to pipeline; e.g. ARM."
"Why does RISC suit mobile/battery devices?","Simple, uniform, single-cycle instructions make pipelining and parallelism easier and reduce power consumption, ideal for smartphones and tablets."
"What is a GPU?","A processor with thousands of small cores specialised for performing the same operation on large blocks of data in parallel (highly parallel floating-point work)."
"Give two non-graphics uses of a GPU.","Machine learning / training neural networks, scientific/numerical simulations, image/video processing, or cryptocurrency mining/brute-force hashing."
"What kind of work are GPUs poor at compared with CPUs?","Heavily sequential, branch-heavy logic with data dependencies; that work suits the few powerful high-clock cores of a CPU."
"Define parallel processing.","Carrying out multiple computations simultaneously, splitting a task across several processors/cores to complete it faster."
"Why do some tasks not parallelise well?","Data dependencies (a step needs a previous result), splitting/coordination/recombination overheads, and some algorithms being fundamentally sequential."
"How does magnetic storage (HDD/tape) store data?","Data is stored as magnetised patterns (polarity) on a spinning platter or tape; a read/write head detects or changes the magnetisation."
"Give one pro and one con of magnetic storage.","Pro: very large capacity at low cost per GB. Con: slower than flash and fragile due to moving parts."
"How does flash/solid-state storage store data?","A type of EEPROM that stores data by trapping electrons in transistors (memory cells), with no moving parts (e.g. SSD, USB stick, SD card)."
"Give one pro and one con of flash storage.","Pro: very fast, silent, low power, durable and shock-resistant. Con: more expensive per GB and has a finite number of write cycles."
"How does optical storage work?","A laser reads/writes data by detecting pits and lands on a reflective surface, sensing changes in reflected light (e.g. CD, DVD, Blu-ray)."
"Compare RAM and ROM.","RAM is volatile, read and write, holds programs/data currently in use. ROM is non-volatile, normally read only, holds permanent boot/firmware (bootstrap) instructions."
"What is virtual memory?","When RAM is full, the OS uses a portion of secondary storage (a swap/paging file) as if it were extra RAM, moving pages in and out as needed."
"Scenario: a travelling laptop needs internal storage. Which storage type and why?","Flash/SSD: no moving parts so shock-resistant and durable, fast, silent, low power for better battery life, and lightweight/portable."
"Scenario: cheap long-term archiving of huge data volumes. Which storage type and why?","Magnetic (HDD or tape): very large capacity at low cost per GB; tape is cheap and reliable for archive despite slow serial access."
